N,Bubble,Quick,Insert
629,1.250000,0.060000,0.354000
630,1.228000,0.062000,0.357000
631,1.230000,0.060000,0.362000
632,1.441000,0.076000,0.549000
633,1.559000,0.086000,0.624000
634,1.611000,0.071000,0.395000
635,1.351000,0.061000,0.434000
636,1.486000,0.076000,0.471000
637,1.289000,0.080000,0.466000
638,1.269000,0.064000,0.350000
639,1.289000,0.061000,0.369000
640,1.285000,0.062000,0.371000
641,1.274000,0.061000,0.382000
642,1.308000,0.061000,0.354000
643,1.318000,0.062000,0.359000
644,1.325000,0.062000,0.368000
645,1.367000,0.062000,0.363000
646,1.335000,0.066000,0.369000
647,1.308000,0.063000,0.373000
648,1.306000,0.063000,0.396000
649,1.570000,0.074000,0.479000
650,1.707000,0.143000,0.633000
651,1.580000,0.072000,0.435000
652,1.365000,0.063000,0.383000
653,1.420000,0.081000,0.439000
654,1.552000,0.072000,0.440000
655,1.494000,0.075000,0.442000
656,1.421000,0.064000,0.388000
657,1.317000,0.063000,0.382000
658,1.396000,0.078000,0.410000
659,1.395000,0.069000,0.424000
660,1.375000,0.064000,0.410000
661,1.376000,0.062000,0.402000
662,1.443000,0.064000,0.406000
663,1.389000,0.065000,0.409000
664,1.377000,0.064000,0.400000
665,1.619000,0.076000,0.485000
666,1.871000,0.079000,0.692000
667,1.462000,0.067000,0.407000
668,1.467000,0.065000,0.408000
669,1.388000,0.069000,0.414000
670,1.655000,0.064000,0.396000
671,1.407000,0.067000,0.429000
672,1.477000,0.065000,0.402000
673,1.476000,0.074000,0.460000
674,1.590000,0.073000,0.435000
675,1.570000,0.079000,0.411000
676,1.461000,0.079000,0.417000
677,1.444000,0.065000,0.419000
678,1.569000,0.066000,0.417000
679,1.417000,0.066000,0.400000
680,1.514000,0.075000,0.468000
681,1.830000,0.077000,0.628000
682,1.972000,0.075000,0.460000
683,1.530000,0.068000,0.422000
684,1.443000,0.066000,0.419000
685,1.495000,0.066000,0.506000
686,1.620000,0.067000,0.413000
687,1.553000,0.071000,0.415000
688,1.498000,0.067000,0.407000
689,1.500000,0.067000,0.432000
690,1.479000,0.066000,0.418000
691,1.535000,0.066000,0.417000
692,1.626000,0.074000,0.484000
693,1.654000,0.077000,0.534000
694,1.653000,0.075000,0.492000
695,1.588000,0.073000,0.481000
696,1.962000,0.079000,0.627000
697,2.056000,0.075000,0.414000
698,1.653000,0.068000,0.449000
699,1.539000,0.069000,0.457000
700,1.582000,0.069000,0.470000
701,1.690000,0.067000,0.486000
702,1.523000,0.070000,0.423000
703,1.546000,0.071000,0.451000
704,1.542000,0.069000,0.473000
705,1.552000,0.069000,0.468000
706,1.550000,0.068000,0.437000
707,1.550000,0.067000,0.430000
708,1.552000,0.095000,0.487000
709,1.547000,0.070000,0.421000
710,1.987000,0.087000,0.508000
711,2.048000,0.099000,0.658000
712,1.685000,0.073000,0.461000
713,1.626000,0.070000,0.444000
714,1.707000,0.069000,0.462000
715,1.568000,0.069000,0.596000
716,1.729000,0.071000,0.477000
717,1.589000,0.071000,0.502000
718,1.594000,0.071000,0.458000
719,1.663000,0.071000,0.482000
720,1.590000,0.071000,0.467000
721,1.605000,0.071000,0.465000
722,2.098000,0.081000,0.585000
723,1.813000,0.080000,0.518000
724,2.048000,0.086000,0.535000
725,2.373000,0.070000,0.536000
726,1.625000,0.070000,0.476000
727,1.787000,0.086000,0.509000
728,1.650000,0.071000,0.473000
729,1.787000,0.081000,0.562000
730,1.707000,0.073000,0.542000
731,1.707000,0.071000,0.499000
732,1.702000,0.072000,0.479000
733,1.657000,0.072000,0.465000
734,1.680000,0.072000,0.482000
735,1.679000,0.073000,0.513000
736,1.691000,0.094000,0.500000
737,2.089000,0.085000,0.567000
738,2.492000,0.074000,0.493000
739,1.811000,0.073000,0.491000
740,1.740000,0.073000,0.481000
741,1.747000,0.074000,0.466000
742,1.709000,0.074000,0.471000
743,1.918000,0.080000,0.604000
744,1.926000,0.086000,0.571000
745,1.897000,0.072000,0.524000
746,1.746000,0.072000,0.506000
747,1.733000,0.073000,0.504000
748,1.758000,0.072000,0.488000
749,1.750000,0.075000,0.566000
750,2.234000,0.086000,0.592000
751,2.537000,0.083000,0.497000
752,1.765000,0.075000,0.496000
753,1.820000,0.085000,0.498000
754,1.781000,0.074000,0.540000
755,1.775000,0.073000,0.507000
756,1.985000,0.101000,0.530000
757,1.827000,0.079000,0.529000
758,1.827000,0.075000,0.511000
759,1.820000,0.110000,0.582000
760,1.989000,0.086000,0.593000
761,1.987000,0.083000,0.613000
762,2.058000,0.085000,0.817000
763,2.213000,0.093000,0.862000
764,2.161000,0.078000,0.523000
765,1.859000,0.076000,0.533000
766,1.838000,0.073000,0.565000
767,1.811000,0.075000,0.523000
768,1.868000,0.077000,0.659000
769,1.916000,0.079000,0.528000
770,1.850000,0.077000,0.573000
771,1.910000,0.086000,0.596000
772,2.052000,0.085000,0.615000
773,1.947000,0.077000,0.717000
774,2.762000,0.105000,0.905000
775,2.898000,0.103000,1.019000
776,2.271000,0.089000,0.625000
777,2.749000,0.100000,0.819000
778,2.273000,0.097000,0.605000
779,2.679000,0.101000,0.779000
780,2.221000,0.091000,0.666000
781,2.119000,0.086000,0.609000
782,2.135000,0.087000,0.582000
783,2.110000,0.085000,0.619000
784,2.112000,0.085000,0.613000
785,2.460000,0.107000,0.793000
786,2.423000,0.089000,0.619000
787,2.174000,0.086000,0.645000
788,1.976000,0.077000,0.575000
789,1.952000,0.078000,0.553000
790,2.237000,0.080000,0.563000
791,1.973000,0.098000,0.580000
792,1.954000,0.079000,0.549000
793,1.968000,0.079000,0.586000
794,1.925000,0.077000,0.568000
795,1.953000,0.078000,0.556000
796,2.030000,0.080000,0.626000
797,2.711000,0.134000,0.686000
798,2.154000,0.081000,0.601000
799,2.000000,0.079000,0.541000
800,2.027000,0.079000,0.595000
801,2.187000,0.092000,0.669000
802,2.184000,0.078000,0.569000
803,2.047000,0.081000,0.569000
804,2.076000,0.081000,0.571000
805,2.145000,0.102000,0.703000
806,2.249000,0.089000,0.649000
807,2.250000,0.116000,1.018000
808,2.646000,0.095000,0.779000
809,2.154000,0.083000,0.597000
810,2.050000,0.081000,0.615000
811,2.063000,0.080000,0.590000
812,2.086000,0.080000,0.588000
813,2.109000,0.079000,0.647000
814,2.089000,0.091000,0.669000
815,2.282000,0.092000,0.667000
816,2.140000,0.105000,0.604000
817,2.113000,0.091000,0.690000
818,2.851000,0.093000,0.722000
819,2.438000,0.093000,0.678000
